Technological readiness,Comparing locations,Risks,Support,Governance,Knowledge availability,Sustainability,Costs
progetto pilota,progetto di riferimento,rischio,consenso,permesso,dati geologici,energia sostenibile,costi
pilota,comune pilota,rischio per la sicurezza,accettazione pubblica,iter autorizzativo,dati del sottosuolo,energia rinnovabile,investimento
fase pilota,impianto di riferimento,rischio sismico,sostegno,normativa,dati del suolo,riduzione della CO2,investimento di capitale
impianto dimostrativo,esempio pratico,terremoto,sostegno locale,politica,ricerca geologica,riduzione delle emissioni,costi operativi
progetto dimostrativo,caso di studio,terremoti,preoccupazione,processo decisionale,indagine sismica,neutralita climatica,finanziamento del progetto
prototipo,caso di studio internazionale,vibrazioni,protesta,valutazione di impatto ambientale,modello del sottosuolo,eliminazione dei combustibili fossili,sussidio
impianto prototipale,progetti esteri,attivita sismica,resistenza,piano regolatore,dati geofisici,energia pulita,budget
pozzo esplorativo,esperienza estera,sismicita indotta,sfiducia,domanda di permesso,caratterizzazione del suolo,energia verde,stima dei costi
pozzo di prova,benchmark,danni agli edifici,scetticismo,decisione governativa,carote geologiche,calore sostenibile,business case
fase di prova,benchmark prestazionale,formazione di crepe,fiducia,procedura di partecipazione,dati di misurazione,CO2 neutrale,analisi costi-benefici
fase sperimentale,confronto prestazionale,cedimenti,accettazione del progetto,valutazione giuridica,mappe del sottosuolo,senza emissioni,tempo di ritorno
prova di concetto,regione esempio,subsidenza,coinvolgimento locale,quadro politico,analisi del serbatoio,rispettoso del clima,finanziario
validazione del concetto,regione di riferimento,rischio di perforazione,accettazione sociale,procedura,lacuna di dati del sottosuolo,beneficio ambientale,redditivita
validazione pratica,regione comparabile,pozzo secco,sostegno dei residenti,procedura di consultazione,incertezza geologica,decarbonizzazione,finanziamento
test sul campo,benchmark di progetto,incertezza sulla temperatura,sostegno al progetto,approvazione,esplorazione del sottosuolo,obiettivi climatici,costi operativi
test pratico,caso di riferimento,incertezza,coinvolgimento pubblico,quadro normativo,dati sismici,calore rinnovabile,costi di progetto
test tecnologico,esperienza di progetto,perforazione fallita,incertezza nel quartiere,autorizzazione del progetto,interpretazione geologica,guadagno ecologico,sforamento del budget
test di sistema,esperienza internazionale,resa deludente,preoccupazioni locali,procedura di valutazione,ricerca del sottosuolo,calore pulito,sforamento dei costi
applicazione sperimentale,benchmarking di progetto,guasto,agitazione,durata del processo,indagine geofisica,fonte sostenibile,redditivita economica
esperimento,area di riferimento,incidente,controversia,decisione,dati del serbatoio,energia continua,fattibilita finanziaria
sperimentale,confronto tra progetti,problema,preoccupazione dei residenti,pianificazione,conoscenza geologica,sempre disponibile,budget di progetto
progetto di innovazione,caso pratico,rischio tecnico,discussione locale,fase decisionale,parametri del sottosuolo,sicurezza dell'approvvigionamento,costi di investimento
programma di innovazione,caso di riferimento,rischio di progetto,azione di protesta,allineamento politico,set di dati geofisici,fonte rinnovabile,budget operativo
campo sperimentale,progetto benchmark,risultati di progetto,comitato di azione,procedura di progetto,analisi geologica,fonte di calore sostenibile,costi aziendali
living lab,caso prestazionale,fallimento,protesta dei residenti,procedura autorizzativa,ricerca di caratterizzazione del suolo,calore verde,costi di capitale
