Technological readiness,Comparing locations,Risks,Support,Governance,Knowledge availability,Sustainability,Costs
pilotproject,referentieproject,risico,draagvlak,vergunning,geologische data,duurzame energie,kosten
pilot,pilotgemeente,veiligheidsrisico,publieke acceptatie,vergunningstraject,ondergronddata,hernieuwbare energie,investering
pilotfase,referentie-installatie,seismisch risico,steun,regelgeving,bodemdata,CO2-reductie,kapitaalinvestering
demonstratie-installatie,praktijkvoorbeeld,aardbeving,lokale steun,beleid,geologisch onderzoek,emissiereductie,exploitatiekosten
demoproject,casestudy,bevingen,bezorgdheid,besluitvorming,seismisch onderzoek,klimaatneutraliteit,projectfinanciering
prototype,internationale casestudy,trillingen,protest,milieueffectrapportage,ondergrondmodel,fossiele uitfasering,subsidie
prototype-installatie,buitenlandse projecten,seismische activiteit,weerstand,bestemmingsplan,geofysische data,schone energie,budget
exploratieboring,buitenlandse ervaring,geïnduceerde seismiciteit,wantrouwen,vergunningaanvraag,bodemkarakterisatie,groene energie,kostenraming
testboring,benchmark,schade aan gebouwen,scepsis,overheidsbesluit,kernmonsters,duurzame warmte,businesscase
testfase,prestatiebenchmark,scheurvorming,vertrouwen,participatieprocedure,meetgegevens,CO2-neutraal,kosten-batenanalyse
proeffase,prestatievergelijking,verzakkingen,projectacceptatie,juridische toetsing,ondergrondse kaarten,emissievrij,terugverdientijd
proof-of-concept,voorbeeldregio,bodemdaling,lokale betrokkenheid,beleidskader,reservoiranalyse,klimaatvriendelijk,financieel
conceptvalidatie,referentieregio,boringsrisico,sociale acceptatie,procedure,geologische onzekerheid,milieuwinst,rendement
praktijkvalidatie,vergelijkbare regio,droge put,bewonerssteun,inspraakprocedure,datagap ondergrond,decarbonisatie,financiering
veldtest,projectbenchmark,temperatuur onzekerheid,projectsteun,goedkeuring,ondergrondverkenning,klimaatdoelen,operationele kosten
praktijktest,referentiecase,onzekerheid,publieke betrokkenheid,regelgevingskader,seismische data,hernieuwbare warmte,projectkosten
technologietest,projectervaring,mislukte boring,onzekerheid in de buurt,projectautorisatie,geologische interpretatie,ecologische winst,budgetoverschrijding
systeemtest,internationale ervaring,tegenvallende opbrengst,lokale zorgen,toetsingsprocedure,ondergrondonderzoek,schone warmte,kostenoverschrijding
experimentele toepassing,projectbenchmarking,storing,onrust,proceslengte,geofysisch onderzoek,duurzame bron,rendabiliteit
experiment,referentiegebied,incident,controverse,besluit,reservoirdata,continu energie,financiële haalbaarheid
experimenteel,projectvergelijking,probleem,bezorgdheid bewoners,planvorming,geologische kennis,altijd beschikbaar,projectbudget
innovatieproject,praktijkcase,technisch risico,lokale discussie,besluitvormingsfase,ondergrondparameters,voorzieningszekerheid,investeringskosten
innovatieprogramma,referentiecasus,projectrisico,protestactie,beleidsafstemming,geofysische dataset,hernieuwbare bron,exploitatiebudget
proeftuin,benchmarkproject,projectresultaten,actiegroep,projectprocedure,geologische analyse,duurzame warmtebron,bedrijfskosten
living lab,prestatiecase,mislukking,bewonersprotest,vergunningsprocedure,bodemkarakterisatie onderzoek,groene warmte,kapitaalkosten
testopstelling,vergelijkingsproject,risicozone,publiek debat,bestemmingsplanwijziging,reservoirmodellering,CO2-vrije energie,operationeel budget
concepttest,referentie-installaties,bevingsgevaar,lokale weerstand,projectbesluit,temperatuurinschatting,klimaatbestendig,projectinvestering
ontwikkelfase,succesproject,magnitude,maatschappelijke weerstand,overheidsbeleid,debietanalyse,schone energiebron,financieringskosten
ontwikkeltraject,projectbenchmarkresultaat,seismische metingen,scepsis bewoners,beleidsbesluit,hydraulische test,duurzame energiebron,exploitatie-investering
ontwikkelstadium,projectbenchmarkdata,seismisch meetnet,bewonerszorg,regelgeving energie,reservoirkarakterisatie,emissievrije energie,kapitaalbehoefte
praktijkervaring,referentievoorbeeld,naschokken,zorgen bewoners,vergunningverlening,boorresultaat,groene energiebron,projectrendement
operationele ervaring,internationaal voorbeeld,aardschok,maatschappelijke discussie,projectprocedurekosten,slagingspercentage,klimaatoplossing,kostenstructuur
opschaling,projectvergelijking internationaal,seismische trillingen,,beleidsproces,bronrendement,hernieuwbare warmtebron,kostenanalyse
schaalvergroting,praktijkresultaten buitenland,breuklijnactiviteit,,overheidsgoedkeuring,reservoirdruk,schone warmtevoorziening,financiële planning
technologieontwikkeling,projectcase buitenland,grondversnelling,,milieubeoordeling,doorlatendheid,duurzame warmtevoorziening,projectkostenanalyse
technologische test,referentiecase buitenland,seismogram,,milieutoets,warmteflux,CO2-arme energie,projectbegroting
systeemontwikkeling,benchmarkstudie,bevingscluster,,milieueffectbeoordeling,geothermische gradient,klimaatneutrale energie,projectfinanciën
projectontwikkeling,projectbenchmarkstudie,ondergrondse spanning,,vergunningseis,natuurlijke warmtereserves,groene energietransitie,kostenplanning
innovatieproces,projectevaluatie buitenland,tectonische breuk,,regelgevingsproces,reservoirstabiliteit,duurzame energievoorziening,financieringsstructuur
techniekontwikkeling,projectervaring buitenland,aardbevingsrisico,,overheidsprocedure,formatiewater,schone energietransitie,financieringsmodel
pilotinstallatie,internationale benchmark,schadebevingen,,overheidsbesluitvorming,reservoirdynamiek,CO2-neutrale warmte,projectbudgetanalyse
demoversie,projectbenchmark internationaal,aardschokregistratie,,projectgoedkeuring,warmtefluxmeting,klimaatvriendelijke energie,projectkostenraming
technologieproef,projectvergelijking Europa,bevingsintensiteit,,regelgevingsbesluit,geothermische data,groene warmtevoorziening,financiële analyse
praktijkimplementatie,IJsland,bevingsmetingen,,regelgeving geothermie,reservoiranalyse data,duurzame warmteoplossing,projectfinancieringsmodel
praktijktestinstallatie,Hellisheidi,aardbevingsmonitoring,,regelgeving warmte,ondergrondse permeabiliteit,hernieuwbare warmtevoorziening,investeringsstrategie
proefinstallatie,Italië,seismisch monitoringsnet,,vergunning warmteproject,geologische warmtevoorraad,schone warmtebron,projectinvesteringen
testinstallatie,Lardello,seismische monitoring,,vergunningproces,thermisch reservoir,duurzame warmteproductie,projectkostenplanning
experimenteergebied,Zwitserland,seismische activiteit meten,,bestuurlijk besluit,permanente warmtestroom,klimaatneutrale warmte,kostenberekening
transitieproeftuin,St. Gallen,bevingsanalyse,,beleidskader energie,aquiferformatie,duurzame energie-infrastructuur,kostenanalyse project
,Zuid-Korea,seismisch risicoanalyse,,regelgeving energieproject,hydrothermaal systeem,schone warmte-infrastructuur,financiële projectanalyse
,Pohang,seismische risicoanalyse,,overheidsvergunning,ondergrondse permeabiliteit meting,,projectfinanciering structuur
,Duitsland,aardbevingsgevoelig,,vergunning energieproject,projectgeologie,,investeringsstructuur
,Meaningen,inklinking,,regelgeving energie-infrastructuur,kennis,,projectkostenstructuur
,Thüringen,inklinken,,vergunning infrastructuur,,,goedkoop
,Staufen im Breisgau,richter,,burgerparticipatie,,,goedkoper
,Boxtel,,,participatieproces,,,duur
,Barendrecht,,,informatieavond,,,duurder
,,,,inspraak,,,rendabel
,,,,communicatie met bewoners,,,
,,,,maatschappelijk debat,,,
,,,,bewonersparticipatie,,,
,,,,debat,,,
