Costs,Sustainability,Permitting & policy,Public acceptance,Technological (un)certainty,Infrastructure,Operational risk
Betriebskosten,CO2-neutral,Politik,Akzeptanz,Benchmark,Infrastruktur,Erdbeben
Betriebskostensenkung,CO2-neutrale,Energiepolitik,,Benchmarks,Energieinfrastruktur,Erdbebenrisiko
Betriebskostensteigerung,CO2-neutraler,Behördenpolitik,,Benchmarkprojekt,Netzinfrastruktur,Erdbebenrisiken
Budget,CO2-neutrales,politisch,Anwohnerakzeptanz,Benchmarkprojekte,Verteilnetz,Erdbebengefahr
Budgets,CO2-neutralen,politische,Zustimmung,Referenzfall,Verteilnetze,Erdbebengefahren
Budgetplanung,CO2-neutralem,politischer,Unterstützung,Referenzfälle,Verteilnetzwerk,Beben
Haushalt,CO2-Neutralität,politisches,Anwohnerunterstützung,Referenzcase,Verteilnetzwerke,Nachbeben
Haushalte,CO2-Reduktion,politischen,Bewohnerunterstützung,Referenzcases,Stromnetz,Erdstoß
Business Case,CO2-Emission,politischem,Rückhalt,Vergleichsregion,Stromnetze,Erdstöße
Business Cases,CO2-Emissionen,politischer Beschluss,,Vergleichsregionen,Elektrizitätsnetz,Erschütterung
Kosten,CO2-Ausstoß,politische Beschlüsse,Vertrauen,vergleichbare Region,Elektrizitätsnetze,Erschütterungen
Kostensenkung,Kohlenstoffneutralität,Regierungsbeschluss,Misstrauen,vergleichbare Regionen,Energienetz,Erschütterungsgefahr
Kostensteigerung,emissionsfrei,Regierungsbeschlüsse,Skepsis,Fallstudie,Energienetze,seismische Aktivität
Kostenanalyse,emissionsfreie,Behördenbeschluss,skeptisch,Fallstudien,Energienetzwerk,seismisches Risiko
Kostenanalysen,emissionsfreier,Behördenbeschlüsse,skeptische,Projektvergleich,Energienetzwerke,seismische Risiken
Kostenschätzung,emissionsfreies,Richtlinie,skeptischer,Projektvergleiche,Hochspannungskabel,Seismizität
Kostenschätzungen,emissionsfreien,Richtlinien,skeptisches,Bodendaten,Hochspannungsnetz,Magnitude
Kostenrahmen,emissionsfreiem,politischer Rahmen,skeptischen,,Hochspannungsnetze,Richter-Skala
Kostentreiber,emissionsarm,gesetzlicher Rahmen,skeptischem,geologische Daten,Hochspannungsnetzwerk,Bruchlinie
Kapitalinvestition,emissionsarme,gesetzliche Rahmen,Widerstand,geologische Analyse,Stromkabel,Bruchlinien
Kapitalinvestitionen,emissionsarmer,rechtlicher Rahmen,Ablehnung,geologische Analysen,Netzanschluss,Verwerfung
Kapitalkosten,emissionsarmes,rechtliche Rahmen,Protest,geologische Untersuchung,Netzanschlüsse,Verwerfungen
Investition,emissionsarmen,Rechtsrahmen,Proteste,geologische Untersuchungen,Netzkapazität,Bodensenkung
