location,action,target_type,target_name,country_id,nuts2_id,lat,lon,notes
Oberrheingraben,ignore,,,,,,,Broad geological region spanning multiple NUTS2 areas.
Gemeinde,ignore,,,,,,,Generic administrative word without a place name.
Landkreis,ignore,,,,,,,Generic administrative word without a place name.
Rheinland,ignore,,,,,,,Broad multi-region phrase; keep out of point geocoding.
Mitteleuropa,ignore,,,,,,,Broad supranational region.
Rheinebene,ignore,,,,,,,Broad geological or landscape term spanning multiple regions.
Oststeiermark,nuts2,nuts2,Steiermark,AUT,AT22,,,Regional term within Steiermark.
Sudtirol,ignore,,,,,,,Outside the configured German-speaking country scope for this workflow.
Suedtirol,ignore,,,,,,,Outside the configured German-speaking country scope for this workflow.
Vendenheim,ignore,,,,,,,Outside the configured German-speaking country scope for this workflow.
