Costs,Sustainability,Permitting & policy,Public acceptance,Technological (un)certainty,Infrastructure,Operational risk
spesa,CO2,politica,accettazione,benchmark,infrastruttura,terremoto
spese,neutralità carbonica,politiche,consenso,caso di riferimento,infrastrutture,terremoti
budget,neutralità climatica,decisione governativa,supporto,casi di riferimento,rete di distribuzione,rischio sismico
,emissione,decisioni governative,,caso comparabile,reti di distribuzione,rischi sismici
bilancio,emissioni,decisione amministrativa,fiducia,casi comparabili,rete elettrica,pericolo sismico
bilanci,decarbonizzazione,decisioni amministrative,sfiducia,regione comparabile,reti elettriche,pericoli sismici
business case,emissioni ridotte,indirizzo politico,scetticismo,regioni comparabili,rete energetica,scossa
business plan,climaticamente neutro,indirizzi politici,scettico,caso di studio,reti energetiche,scosse
caso economico,climaticamente neutra,quadro normativo,scettica,caso di studi,rete ad alta tensione,aftershock
casi economici,climaticamente neutri,quadri normativi,scettici,comparazione di progetto,reti ad alta tensione,aftershocks
costo,climaticamente neutre,quadro giuridico,scettiche,comparazioni di progetto,cavo ad alta tensione,replica sismica
costi,climate friendly,quadri giuridici,resistenza,dati del sottosuolo,cavi ad alta tensione,repliche sismiche
preventivo,climate neutral,regolamento,opposizione,dato del sottosuolo,cavo elettrico,attività sismica
preventivi,environmental friendly,regolamenti,contrarietà,dati geologici,cavi elettrici,sismicità
investimento,environmentally neutral,legge,protesta,dato geologico,connessione alla rete,magnitudo
investimenti,compatibile con il clima,leggi,proteste,analisi geologica,connessioni alla rete,Richter
finanziamento,compatibili con il clima,requisito normativo,protestare,analisi geologiche,capacità di rete,faglia
finanziamenti,obiettivo climatico,requisiti normativi,protesto,indagine geologica,congestione di rete,faglie
finanza,obiettivi climatici,legale,protesti,indagini geologiche,congestioni di rete,subsidenza
finanze,transizione climatica,legali,protestiamo,incertezza geologica,sovraccarico di rete,cedimento del terreno
finanziario,transizione energetica,giuridico,protestate,incertezze geologiche,sovraccarichi di rete,cedimenti del terreno
finanziaria,protezione del clima,giuridica,protestano,dati sismici,gestore di rete,abbassamento del suolo
finanziari,sostenibile,giuridici,protestava,dato sismico,gestori di rete,abbassamenti del suolo
finanziarie,sostenibili,giuridiche,protestavano,indagini sismiche,tubazione,assestamento
sussidio,sostenibilità,permesso,protestato,Modello di cisterna,tubazioni,assestamenti
sussidi,rinnovabile,permessi,gruppo di azione,Modelli di cisterna,tubatura,fessurazione
incentivo,rinnovabili,autorizzazione,gruppi di azione,modello del sottosuolo,tubature,fessurazioni
incentivi,energia verde,autorizzazioni,comitato dei cittadini,modelli del sottosuolo,pipeline,formazione di crepe
programma di sostegno,energie verdi,licenza,comitati dei cittadini,modello di serbatoio,pipelines,crepa
programmi di sostegno,elettricità verde,licenze,reclamo,modelli di serbatoio,condotta termica,crepe
ricavo,calore verde,autorizzativo,reclami,dati di serbatoio,condotte termiche,frattura
ricavi,tecnologia verde,autorizzativi,lamentela,dato di serbatoio,rete di calore,fratture
entrata,tecnologie verdi,rilascio dell'autorizzazione,lamentele,pressione del serbatoio,reti di calore,perdita
entrate,energia pulita,piano urbanistico,inquietudine,analisi di serbatoio,rete termica,perdite
profitto,energie pulite,piani urbanistici,preoccupazione,analisi del serbatoio,reti termiche,fuga
profitti,elettricità pulita,piano territoriale,preoccupazioni,modello della sorgente,teleriscaldamento,fughe
utile,calore pulito,piani territoriali,controversia,modelli della sorgente,calore urbano,incidente
utili,,piano regolatore,controversie,flusso termico,scambiatore di calore,incidenti
rendimento,beneficio ambientale,piani regolatori,solidarietà,potenza termica,scambiatori di calore,anomalia operativa
rendimenti,benefici ambientali,pianificazione,valore collettivo,incertezza di temperatura,utenza,anomalie operative
redditività,guadagno ambientale,formazione del piano,valori collettivi,incertezze di temperatura,utenze,sicurezza
convenienza economica,guadagni ambientali,procedura,bene comune,stima della temperatura,servizio pubblico,pericolo
tempo di rientro,sicurezza dell'approvvigionamento,procedure,economia locale,stime della temperatura,servizi pubblici,pericoli
ammortamento,energia continua,valutazione di impatto ambientale,posto di lavoro,gradiente geotermico,gestore della rete,sostanza pericolosa
mercato di sbocco,calore continuo,valutazioni di impatto ambientale,posti di lavoro,gradienti geotermici,gestori della rete,sostanze pericolose
mercati di sbocco,fornitura continua di calore,procedura VIA,occupazione,permeabilità,condutture,sostanza nociva
vendite,fonte di energia continua,procedure VIA,impiego,portata,conduttura,sostanze nocive
abbordabile,fonti di energia continue,rapporto ambientale,impieghi,produzione d'acqua,operatore di rete,contaminazione
abbordabili,sempre disponibile,rapporti ambientali,rumore,contenuto minerale,operatori di rete,contaminazioni
economicamente,disponibile in modo continuo,verifica ambientale,rumori,ricco di minerali,,inquinamento
