Costs;Sustainability;Permitting & policy;Public acceptance;Technological uncertainty;Infrastructure;Operational Risk
Betriebskosten;jederzeit verfügbar;Politik;Akzeptanz;Benchmark;Verteilnetz;Erdbeben
Budgetplanung;CO2-neutral;politische Entscheidung;Aktionsgruppe;Benchmarkprojekt;Verteilnetze;Erdbebenereignisse
Budgets;CO2-neutrale Versorgung;politischer Rahmen;Arbeitsplätze;Untergrunddaten;Verteilinfrastruktur;Erdbebengefahr
Budget;CO2-Neutralität;politische Rahmenwerke;lokale Jobs;Bohrergebnis;Stromnetz;Erdbebenrisiko
Projektbudgets;CO2-Reduktion;Politikprozess;Anwohnerprotest;Bohrergebnisse;Stromnetze;Erdbebenrisiken
Business Case;CO2-frei;politische Absicht;Anwohnerunterstützung;Quellmodell;Energienetz;Erdstoß
teuer;CO2-freie Wärme;politische Vorhaben;Besorgnis;Fallstudien;Energienetze;Erdstöße
kostspielig;klimaneutral durch CO2;Beschluss;Baulärm;Fallstudie;Energieinfrastruktur;Beben
teurer;Kohlenstoffneutralität;Entscheidungsfindung;Nachbarschaftsprotest;korrosiv;Hochspannungskabel;Bebenereignisse
am teuersten;Kohlenstoffreduktion;Bebauungsplan;Nachbarschaftsproteste;Durchflussrate;Hochspannungskabelanlagen;Bebengefahr
Bewirtschaftungskosten;carbonfrei;Bebauungspläne;kollektive Werte;Demoprojekt;Hochspannungsnetz;Bodensenkung
finanziell;carbonfreie Energie;institutionelle Einbindung;Wohnkomfort;Demoprojekte;Hochspannungsnetze;Umweltvorfälle
finanzielle Aspekte;kontinuierlicher Strom;Bürgerabend;Komfortempfinden;Durchlässigkeit;Hochspannungsinfrastruktur;Bodenabsenkung
Finanzen;kontinuierliche Energie;Bürgerabende;Kontroverse;Experiment;Infrastruktur;Bodenabsenkungen
Finanzierung;kontinuierliche Energiequelle;Anwohnerdialog;gesellschaftlicher Rückhalt;experimentell;Leitungsnetz;Bruchlinie
Finanzierungskosten;kontinuierliche Energiequellen;Anwohnerbeteiligung;Lärmbelastung;experimentelle Phase;Netzbetrieb;Bruchlinien
günstig;kontinuierliche Wärme;Versammlung;Lärmbelästigung;Experimente;Netzbetreiber;Grundwasserkontamination
am günstigsten;Dekarbonisierung;Versammlungen;Gewohnheit;Explorationsbohrung;Netzengpass;Grundwasserverschmutzung
preiswert;nachhaltig;Bürgerbeteiligung;Gewohnheiten;Explorationsbohrungen;Versorgungsdienst;Umweltvorfall
günstiger;am nachhaltigsten;Debatte;Belästigung;geologische Untersuchung;Versorgungsdienste;Setzung
Einnahmen;nachhaltige Energie;Debatten;lokale Identität;geologische Analyse;Pipeline;Leckage
Investition;nachhaltiger;Genehmigung;Ofen;geologische Analysen;Pipelines;Leckagen
Investitionen;Emission;Informationsabend;Beschwerde;geologische Daten;Fernwärme;Magnitude
Investitionskosten;Emissionsminderung;Anhörung;Beschwerden;geologische Untersuchungen;städtische Wärme;Umweltverschmutzung
Investitionsstrategie;emissionsfrei;Anhörungsverfahren;Beschwerdeausschuss;geologische Unsicherheiten;Stromkabel;Nachbeben
Investitionsstrategien;emissionsfreie Lösung;rechtlich;Kochen;geologische Unsicherheit;Stromkabeltrassen;Oberflächenwasserkontamination
Kapitalinvestition;Energiewende;juristisch;Lebensstil;geothermischer Gradient;Wärmeleitung;Oberflächenwasserverschmutzung
Kapitalinvestitionen;grüner Strom;gesellschaftliche Diskussion;Lebensstile;Fachwissen;Wärmeleitungen;Richterskala
Kapitalkosten;grüne Energie;UVP;Lichtbelästigung;Messdaten;Wärmenetz;schädliche Stoffe
Kosten;grüne Energiequelle;Umweltverträglichkeitsprüfung;Lichtverschmutzung;Messungen;Wärmenetze;Rissbildung
Kostenanalyse;grüne Energiequellen;Umweltverträglichkeitsprüfungen;lokale Wirtschaft;mineralreich;Wärmeinfrastruktur;Seismizität
Kostenanalysen;grüne Technologie;Umweltverträglichkeitsbericht;laut;fehlgeschlagene Bohrung;Wärmetauscher;seismisches Risiko
Kostenschätzung;grüne Wärme;Umweltverträglichkeitsberichte;laute Umgebung;Untertagedaten;Wärmeübertrager;seismische Aktivität
Kostenschätzungen;grüne Wärmeversorgung;Umweltprüfung;Unruhe;Untergrunduntersuchung;;seismische Risiken
Projektinvestition;erneuerbar;Umweltprüfungen;Beeinträchtigung;Untergrundmodell;;Vibrationsgefahr
Projektinvestitionen;erneuerbare Energie;Aufsuchungserlaubnis;stinken;Entwicklungsphase;;Vibration
rentabel;klimaresilient;Aufsuchungserlaubnisse;Protest;operative Skalierung;;Vibrationen
wirtschaftlich tragfähig;Klimaziel;Regierungspolitik;Protestaktion;Pilot;;geologische Sicherheit
Rentabilität;Klimaziele;Regierungsbeschluss;Protestaktionen;Pilotphase;;Sicherheitsrisiko
Rendite;klimaneutral;Partizipation;Proteste;Pilotprojekt;;Kontamination
Subvention;klimaneutrale Lösung;Partizipationsabend;protestieren;Probebohrung;;Verschmutzung
Subventionen;Klimaneutralität;Partizipationsabende;Skepsis;Probebohrungen;;Absenkung
Amortisationszeit;klimafreundlich;Beteiligungsprozess;skeptisch;Versuchsanlage;;Absenkungen
Gewinn;klimafreundliche Lösung;Planungsprozess;skeptische Haltung;Versuchsanlagen;;Wasserkontamination
Gewinne;Umweltnutzen;Verfahren;Solidarität;Reallabor;;Wasserverschmutzung
;sauberer Strom;behördliche Verfahren;Geruchsbelästigung;Projektbenchmark;;Nachstoß
;saubere Energie;Regulierung;öffentliche Unterstützung;Prototyp;;schädlicher Stoff
;Umweltvorteile;öffentlicher Dialog;Staubbelastung;Referenzfall;;gefährlicher Stoff
;saubere Energiequelle;Startgenehmigung;Heizverhalten;technische Messung;;gefährliche Stoffe
;saubere Energiequellen;Erlaubnis;Tradition;Referenzcase;;Trinkwasser
;saubere Wärme;Genehmigungsantrag;Traditionen;Referenzcases;;Trinkwasserkontamination
;saubere Wärmeversorgung;Genehmigungsanträge;Verkehrsbelastung;Reservoiranalyse;;Trinkwasserverschmutzung
;Versorgungssicherheit;Genehmigungen;Vertrauen;Reservoirdaten;;
;CO2-neutrale Energie;Genehmigungsanforderung;Heizpräferenz;Reservoirdruck;;
;kontinuierliche Wärmeversorgung;Genehmigungsverfahren;Misstrauen;Reservoirmodell;;
;Klima;Genehmigungsverfahrensschritte;Widerstand;technologisches Scaling;;
;;Genehmigungsprozess;Beschäftigungseffekt;SCAN;;
;;Genehmigungsprozesse;Sorgen;Skalierbarkeit;;
