Costs,Sustainability,Permitting & policy,Public acceptance,Technological (un)certainty,Infrastructure,Operational risk
bedrijfskosten,altijd beschikbaar,Beleid,acceptatie,benchmark,distributienet,aardbeving
begroting,CO2,beleidsbesluit,actiegroep,benchmarkproject,distributienetten,aardbevingen
begrotingen,Koolstofdioxide,beleidskader,arbeidsplaatsen,bodemdata,distributienetwerk,aardbevingsgevaar
budget,kooldioxide,beleidskaders,banen,boorresultaat,Electriciteitsnet,aardbevingsrisico
budgetten,,Beleidsproces,bewonersprotest,boorresultaten,Electriciteitsnetten,aardbevingsrisico's
businesscase,,beleidsvoornemen,bewonerssteun,bronmodel,energienet,aardschok
dure,,beleidsvoornemens,bezorgdheid,casestudies,energienetten,aardschokken
duur,CO2-neutraal,besluit,bouwgeluid,casestudy,energienetwerk,beving
duurder,CO2-neutraliteit,besluitvorming,buurtprotest,corrosief,hoogspanningskabel,bevingen
duurst,CO2-reductie,bestemmingsplan,buurtprotesten,debiet,hoogspanningskabels,bevingsgevaar
exploitatiekosten,CO2-vrij,bestemmingsplannen,collectieve waarden,demoproject,hoogspanningsnet,bodemdaling
Financieel,CO2-vrije,betrokkenheid,comfort,demoprojecten,hoogspanningsnetten,incidenten
financiële,continue electriciteit,bewonersavond,comfortbeleving,doorlatendheid,Hoogspanningsnetwerk,bodemverzakking
financiën,continue energie,bewonersavonden,controverse,experiment,infrastructuur,bodemverzakkingen
financiering,continue energiebron,bewonersoverleg,Draagvlak,experimenteel,leidingnetwerk,breuklijn
financieringskosten,continue energiebronnen,bewonersparticipatie,geluidsbelasting,experimentele,netbeheer,breuklijnen
goedkoop,continue warmte,bijeenkomst,geluidsoverlast,experimenten,netbeheerder,grondwaterverontreiniging
goedkoopst,decarbonisatie,bijeenkomsten,gewoonte,exploratieboring,netcongestie,grondwatervervuiling
goedkope,Duurzaam,burgerparticipatie,gewoontes,exploratieboringen,nutsvoorziening,incident
goedkoper,Duurzaamste,debat,hinder,Geologisch onderzoek,nutsvoorzieningen,inklinking
inkomsten,Duurzame,debatten,identiteit,geologische analyse,pijpleiding,lekkage
Investering,Duurzamer,goedkeuring,kachel,geologische analyses,pijpleidingen,lekkages
investeringen,emissie,informatieavond,klacht,Geologische data,Stadsverwarming,magnitude
investeringskosten,emissiereductie,inspraak,klachten,Geologische onderzoeken,stadswarmte,milieuvervuiling
investeringsstrategie,emissievrij,inspraakprocedure,klachtencommissie,geologische onzekerheden,stroomkabel,naschokken
investeringsstrategiën,emissievrije,juridisch,koken,geologische onzekerheid,stroomkabels,oppervlaktewaterverontreiniging
kapitaalinvestering,energietransitie,juridische,leefstijl,geothermische gradient,warmteleiding,oppervlaktewatervervuiling
kapitaalinvesteringen,groene elektriciteit,maatschappelijke discussie,leefstijlen,kennis,warmteleidingen,richter
kapitaalkosten,groene energie,mer,lichthinder,meetgegevens,warmtenet,schadelijke stoffen
Kosten,groene energiebron,milieueffectbeoordeling,lichtoverlast,Metingen,warmtenetten,scheurvorming
kostenanalyse,groene energiebronnen,milieueffectbeoordelingen,lokale economie,mineraalrijk,warmtenetwerk,seismiciteit
kostenanalyses,groene technologie,Milieueffectrapportage,luidruchtig,mislukte boring,warmtewisselaar,seismisch risico
kostenraming,groene warmte,Milieueffectrapportages,luidruchtige,ondergronddata,warmtewisselaars,seismische activiteit
kostenramingen,groene warmtevoorziening,milieutoets,onrust,ondergrondonderzoek,leidingen,seismische risico's
projectinvestering,Hernieuwbaar,milieutoetsen,overlast,Ondergrondsmodel,,trillingsgevaar
projectinvesteringen,Hernieuwbare,opsporingsvergunning,stinken,ontwikkelingsfase,,trilling
rendabel,klimaatbestendig,opsporingsvergunningen,protest,opschaling,,trillingen
rendabele,klimaatdoel,overheidsbeleid,protestactie,pilot,,veiligheid
rendabiliteit,Klimaatdoelen,overheidsbesluit,protestacties,pilotfase,,veiligheidsrisico
rendement,Klimaatneutraal,participatie,protesten,pilotproject,,verontreiniging
Subsidie,klimaatneutrale,participatieavond,protesteren,proefboring,,vervuiling
subsidies,Klimaatneutraliteit,participatieavonden,scepsis,proefboringen,,verzakking
terugverdientijd,Klimaatvriendelijk,participatieproces,skeptisch,proefinstallatie,,verzakkingen
Winst,klimaatvriendelijke,planvorming,skeptische,proefinstallaties,,waterverontreiniging
winsten,milieuwinst,procedure,solidariteit,proeftuin,,watervervuiling
Afzet,schone elektriciteit,procedures,stank,projectbenchmark,,naschok
Afzetmarkt,Schone energie,regelgeving,steun,prototype,,schadelijke stof
afbetaald,milieuwinsten,samenspraak,stofhinder,referentie casus,,gevaarlijke stof
afbetalen,schone energiebron,startvergunning,stookgedrag,Meting,,gevaarlijke stoffen
kostprijs,schone energiebronnen,Vergunning,traditie,referentiecase,,drinkwater
betaalbaar,schone warmte,vergunningaanvraag,tradities,referentiecases,,drinkwaterverontreiniging
betaalbare,schone warmtevoorziening,vergunningaanvragen,verkeersbelasting,Reservoir analyse,,drinkwatervervuiling
betaalbaarheid,voorzieningszekerheid,vergunningen,Vertrouwen,reservoirdata,,
,CO2-neutrale,vergunningseis,verwarmingsvoorkeur,reservoirdruk,,
,continue warmtevoorziening,vergunningsprocedure,wantrouwen,reservoirmodel,,
,klimaat,vergunningsprocedures,Weerstand,scaling,,
,onuitputtelijk,vergunningstraject,werkgelegenheid,Schaalbaarheid,,
,onuitputtelijke,vergunningstrajecten,actiegroepen,Seismisch onderzoek,,
,CO2-uitstoot,vergunnningverlening,bewonersprotesten,Seismische Campagne Aardwarmte Nederland,,
,CO2 uitstoot,wet,controversen,seismische data,,
,klimaattransitie,wettelijk kader,bouwgeluiden,Seismische onderzoeken,,
,klimaat transitie,wetten,kachels,slagingspercentage,,
,klimaatcrisis,Beleidsprocessen,collectieve waarde,temperatuur onzekerheid,,
,,participatieprocessen,verkeersdrukte ,temperatuurinschatting,,
,,inspraakprocedures,,testboring,,
,,informatieavonden,,testboringen,,
,,maatschappelijke discussies,,testfase,,
,,startvergunningen,,testopstelling,,
,,vergunningseisen,,trillingsvrachtwagen,,
,,,,trillingsvrachtwagens,,
,,,,vergelijkbare regio,,
,,,,warmteflux,,
,,,,warmtevermogen,,
,,,,waterproductie,,
,,,,bronmodellen,,
,,,,corrosieve,,
,,,,vergelijkbare regio's,,
,,,,reservoir analyses,,
,,,,prototypes,,
,,,,testopstellingen,,
,,,,inventarisatie,,
,,,,inventarisaties,,
,,,,exploratieput,,
,,,,exploratieputten,,
,,,,kinderschoenen,,
,,,,opstartfase,,
,,,,opstartfases,,
